nome,telefone,email,aniversario
Antonio A.,+55 01 11111-1111,antonio@email.com,1/1
Bernardo B.,+55 02 11111-1111,bernardo@email.com,2/2
Caio C.,+55 03 11111-1111,caio@email.com,3/3
Daniel D.,+55 04 11111-1111,daniel@email.com,4/4
Eduardo E.,+55 05 11111-1111,eduardo@email.com,5/5
Fabio F..,+55 06 11111-1111,fabio@email.com,6/6
Gustavo G..,+55 07 11111-1111,gustavo@email.com,1/7
Henrique H.,+55 08 11111-1111,henrique@email.com,8/8
Italo I.,+55 09 11111-1111,italo@email.com,9/9
Joao J..,+55 10 11111-1111,joao@email.com,10/10
Kaique K.,+55 11 11111-1111,kaique@email.com,11/11
Lucas L.,+55 12 11111-1111,lucas@email.com,12/12
Mateus M.,+55 13 11111-1111,mateuss@email.com,13/3
Natan N.,+55 14 11111-1111,natan@email.com,14/2
Otavio O.,+55 15 11111-1111,otavio@email.com,15/3
Pedro P.,+55 16 11111-1111,pedro@email.com,16/4
Quincas Q.,+55 17 11111-1111,quincas@email.com,17/5
Rafael R.,+55 18 11111-1111,rafael@email.com,18/6
Saulo S.,+55 19 11111-1111,saulo@email.com,19/7
Tarciso T.,+55 20 11111-1111,tarciso@email.com,20/8
Ulisses U.,+55 21 11111-1111,ulisses@email.com,21/9
Vitor V.,+55 22 11111-1111,vitor@email.com,22/10
Washington W.,+55 23 11111-1111,washington@email.com,23/11
Xavier X.,+55 24 11111-1111,xavier@email.com,24/12
